Manchester City,57,12,54,38,11,44
Liverpool,55,10,53,34,12,44
Chelsea,39,12,42,24,27,30
Tottenham,34,16,38,33,23,33
Arsenal,42,16,45,31,35,25
Manchester United,33,25,36,32,29,30
Wolves,28,21,34,19,25,23
Everton,30,21,34,24,25,20
Leicester City,24,20,27,27,28,25
West Ham,32,27,31,20,28,21
Watford,26,28,27,26,31,23
Crystal Palace,19,23,20,32,30,29
Newcastle United,24,25,25,18,23,20
Bournemouth,30,25,29,26,45,16
Burnley,24,32,23,21,36,17
Southampton,27,30,23,18,35,16
Brighton ,19,28,23,16,32,13
Cardiff,21,38,20,13,31,14
Fulham,22,36,21,12,45,5
Huddersfield,10,31,9,12,45,7